Kind,Name,CountClassCoupled,CountDeclMethod,PercentLackOfCohesion,DATE
Public Class,org.jfree.chart.demo.TimeSeriesChartDemo1,19,5,0,06/02/2005
Public Class,org.jfree.chart.encoders.EncoderUtil,6,8,0,06/02/2005
Public Class,org.jfree.chart.encoders.ImageEncoderFactory,8,6,50,06/02/2005
Public Class,org.jfree.chart.encoders.KeypointPNGEncoderAdapter,4,6,33,06/02/2005
Public Class,org.jfree.chart.encoders.SunJPEGEncoderAdapter,8,7,57,06/02/2005
Public Class,org.jfree.chart.encoders.SunPNGEncoderAdapter,7,6,0,06/02/2005
Public Class,org.jfree.chart.entity.CategoryItemEntity,3,11,69,06/02/2005
Public Class,org.jfree.chart.entity.ChartEntity,14,19,75,06/02/2005
Public Class,org.jfree.chart.entity.ContourEntity,3,6,75,06/02/2005
Public Class,org.jfree.chart.entity.LegendItemEntity,2,5,70,06/02/2005
Public Class,org.jfree.chart.entity.PieSectionEntity,4,10,70,06/02/2005
Public Class,org.jfree.chart.entity.StandardEntityCollection,9,11,54,06/02/2005
Public Class,org.jfree.chart.entity.TickLabelEntity,2,1,100,06/02/2005
Public Class,org.jfree.chart.entity.XYAnnotationEntity,2,4,50,06/02/2005
Public Class,org.jfree.chart.entity.XYItemEntity,3,9,69,06/02/2005
Public Class,org.jfree.chart.entity.junit.CategoryItemEntityTests,18,5,0,06/02/2005
Public Class,org.jfree.chart.entity.junit.ContourEntityTests,17,5,0,06/02/2005
Public Class,org.jfree.chart.entity.junit.EntityPackageTests,9,3,0,06/02/2005
Public Class,org.jfree.chart.entity.junit.LegendItemEntityTests,17,5,0,06/02/2005
Public Class,org.jfree.chart.entity.junit.PieSectionEntityTests,18,5,0,06/02/2005
Public Class,org.jfree.chart.entity.junit.StandardEntityCollectionTests,18,5,0,06/02/2005
Public Class,org.jfree.chart.entity.junit.TickLabelEntityTests,17,5,0,06/02/2005
Public Class,org.jfree.chart.entity.junit.XYItemEntityTests,18,5,0,06/02/2005
Public Class,org.jfree.chart.event.AxisChangeEvent,1,2,0,06/02/2005
Public Class,org.jfree.chart.event.ChartChangeEvent,2,7,57,06/02/2005
Public Class,org.jfree.chart.event.ChartChangeEventType,2,5,72,06/02/2005
Public Class,org.jfree.chart.event.ChartProgressEvent,1,7,77,06/02/2005
Public Class,org.jfree.chart.event.LegendChangeEvent,1,2,0,06/02/2005
Public Class,org.jfree.chart.event.PlotChangeEvent,1,2,0,06/02/2005
Public Class,org.jfree.chart.event.RendererChangeEvent,0,2,0,06/02/2005
Public Class,org.jfree.chart.event.TitleChangeEvent,1,2,0,06/02/2005
Public Class,org.jfree.chart.imagemap.DynamicDriveToolTipTagFragmentGenerator,1,3,33,06/02/2005
Public Class,org.jfree.chart.imagemap.ImageMapUtilities,12,5,0,06/02/2005
Public Class,org.jfree.chart.imagemap.OverLIBToolTipTagFragmentGenerator,1,1,0,06/02/2005
Public Class,org.jfree.chart.imagemap.StandardToolTipTagFragmentGenerator,1,1,0,06/02/2005
