FileName,PercentLackOfCohesion-Real,PercentLackOfCohesion-Predicted,CountLineCode-Real,CountLineCode-Predicted,SumCyclomatic-Real,SumCyclomatic-Predicted,CountDeclMethodAll-Real,CountDeclMethodAll-Predicted
org.jfree.chart.renderer.OutlierList.csv,70.0,70.0,47.0,48.0,11.0,11.0,21.0,21.0,
org.jfree.chart.renderer.OutlierListCollection.csv,70.0,70.0,49.0,49.0,12.0,12.0,20.0,20.0,
org.jfree.chart.resources.JFreeChartResources.csv,0.0,NaN,12.0,NaN,1.0,NaN,51.0,NaN,
org.jfree.chart.servlet.ChartDeleter.csv,40.0,NaN,28.0,28.0,7.0,NaN,17.0,NaN,
org.jfree.chart.servlet.DisplayChart.csv,0.0,NaN,49.0,49.0,11.0,11.0,15.0,NaN,
org.jfree.chart.servlet.ServletUtilities.csv,71.0,71.0,168.0,168.0,35.0,35.0,26.0,26.0,
org.jfree.chart.urls.CategoryURLGenerator.csv,0.0,NaN,4.0,4.0,1.0,1.0,1.0,1.0,
org.jfree.chart.urls.CustomXYURLGenerator.csv,68.0,68.0,80.0,78.0,22.0,22.0,20.0,20.0,
org.jfree.chart.urls.junit.CustomXYURLGeneratorTests.csv,0.0,NaN,96.0,94.0,9.0,9.0,19.0,19.0,
org.jfree.chart.urls.junit.StandardPieURLGeneratorTests.csv,0.0,NaN,68.0,71.0,7.0,7.0,18.0,18.0,
org.jfree.chart.urls.junit.UrlsPackageTests.csv,0.0,NaN,19.0,19.0,3.0,3.0,15.0,15.0,
org.jfree.chart.urls.PieURLGenerator.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.urls.StandardCategoryURLGenerator.csv,53.0,53.0,82.0,82.0,20.0,20.0,19.0,19.0,
org.jfree.chart.urls.StandardPieURLGenerator.csv,62.0,62.0,67.0,69.0,15.0,15.0,18.0,18.0,
org.jfree.chart.urls.StandardXYURLGenerator.csv,60.0,60.0,62.0,62.0,14.0,14.0,17.0,17.0,
org.jfree.chart.urls.StandardXYZURLGenerator.csv,0.0,NaN,6.0,NaN,1.0,NaN,18.0,18.0,
org.jfree.chart.urls.TimeSeriesURLGenerator.csv,60.0,60.0,82.0,82.0,21.0,21.0,20.0,20.0,
org.jfree.chart.urls.XYURLGenerator.csv,0.0,NaN,3.0,NaN,1.0,NaN,1.0,NaN,
org.jfree.chart.urls.XYZURLGenerator.csv,0.0,NaN,3.0,NaN,1.0,NaN,2.0,NaN,
org.jfree.data.DefaultKeyedValue.csv,54.0,54.0,52.0,52.0,16.0,16.0,20.0,20.0,
org.jfree.data.DefaultKeyedValues.csv,68.0,68.0,190.0,192.0,46.0,47.0,34.0,35.0,
org.jfree.data.DefaultKeyedValues2D.csv,67.0,67.0,252.0,257.0,62.0,64.0,35.0,35.0,
org.jfree.data.DomainInfo.csv,0.0,NaN,5.0,5.0,3.0,3.0,3.0,3.0,
org.jfree.data.junit.DataPackageTests.csv,0.0,NaN,25.0,25.0,3.0,3.0,15.0,15.0,
org.jfree.data.junit.DefaultKeyedValues2DTests.csv,87.0,88.0,216.0,226.0,26.0,27.0,28.0,29.0,
org.jfree.data.junit.DefaultKeyedValuesTests.csv,0.0,NaN,316.0,324.0,31.0,32.0,33.0,34.0,
org.jfree.data.junit.DefaultKeyedValueTests.csv,0.0,NaN,68.0,58.0,9.0,7.0,18.0,17.0,
org.jfree.data.KeyedObject.csv,55.0,55.0,42.0,42.0,11.0,11.0,18.0,18.0,
