Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.appendData,,,,,,,,,,,,,,,,,,,,,,,,,4,23,0,16,3,10,8,5,6,8,12,3,9,4,4,4,1,,,,,,2,,0.5,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.appendData,,,,,,,,,,,,,,,,,,,,,,,,,5,28,0,20,2,13,8,5,18,8,14,3,11,6,6,6,1,,,,,,2,,0.4,,,,,2007-04
Protected Method,org.jfree.data.time.DynamicTimeSeriesCollection.findDomainLimits,,,,,,,,,,,,,,,,,,,,,,,,,4,19,2,13,3,8,4,9,2,7,9,3,6,2,2,2,1,,,,,,1,,0.31,,,,,2007-04
Protected Method,org.jfree.data.time.DynamicTimeSeriesCollection.findMaxValue,,,,,,,,,,,,,,,,,,,,,,,,,1,17,0,12,3,7,5,3,4,8,12,5,7,4,4,4,1,,,,,,3,,0.42,,,,,2007-04
Protected Method,org.jfree.data.time.DynamicTimeSeriesCollection.fireSeriesChanged,,,,,,,,,,,,,,,,,,,,,,,,,5,6,0,3,1,1,3,2,1,1,2,1,1,1,1,1,1,,,,,,0,,1,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getDomainBounds,,,,,,,,,,,,,,,,,,,,,,,,,1,14,0,6,1,3,8,2,2,2,4,1,3,2,2,2,1,,,,,,1,,1.33,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getDomainLowerBound,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,3,1,1,9,2,1,1,2,1,1,1,1,1,1,,,,,,0,,3,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getDomainUpperBound,,,,,,,,,,,,,,,,,,,,,,,,,1,12,0,3,1,1,9,2,1,1,2,1,1,1,1,1,1,,,,,,0,,3,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getEndX,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,4,2,2,8,4,1,2,3,2,1,1,1,1,1,,,,,,0,,2,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getEndY,,,,,,,,,,,,,,,,,,,,,,,,,2,11,0,3,1,1,8,2,1,1,2,1,1,1,1,1,1,,,,,,0,,2.67,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getItemCount,,,,,,,,,,,,,,,,,,,,,,,,,1,13,0,3,1,1,11,1,1,1,2,1,1,1,1,1,1,,,,,,0,,3.67,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getNewestIndex,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getNewestTime,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,3,1,1,5,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getOldestIndex,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,3,1,1,6,1,1,1,2,1,1,1,1,1,1,,,,,,0,,2,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getOldestTime,,,,,,,,,,,,,,,,,,,,,,,,,3,8,0,3,1,1,5,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getPosition,,,,,,,,,,,,,,,,,,,,,,,,,1,8,0,3,1,1,5,1,1,1,2,1,1,1,1,1,1,,,,,,0,,1.67,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getRangeBounds,,,,,,,,,,,,,,,,,,,,,,,,,2,15,0,7,2,4,8,4,2,3,5,2,3,2,2,2,1,,,,,,1,,1.14,,,,,2007-04
Public Method,org.jfree.data.time.DynamicTimeSeriesCollection.getRangeLowerBound,,,,,,,,,,,,,,,,,,,,,,,,,2,15,0,7,2,4,8,2,2,3,5,2,3,2,2,2,1,,,,,,1,,1.14,,,,,2007-04
