Kind,Name,CountClassCoupled,PercentLackOfCohesion,CountDeclMethod,Date
File,Outlier.java,,,11,2008-06-09
File,OutlierList.java,,,9,2008-06-09
File,OutlierListCollection.java,,,8,2008-06-09
File,OutlierTests.java,,,6,2008-06-09
File,OverLIBToolTipTagFragmentGenerator.java,,,2,2008-06-09
File,PaintMap.java,,,9,2008-06-09
File,PaintMapTests.java,,,9,2008-06-09
File,PaintScale.java,,,3,2008-06-09
File,PaintScaleLegend.java,,,26,2008-06-09
File,PaintScaleLegendTests.java,,,6,2008-06-09
File,PaletteChooserPanel.java,,,2,2008-06-09
File,PaletteSample.java,,,6,2008-06-09
File,PeriodAxis.java,,,46,2008-06-09
File,PeriodAxisLabelInfo.java,,,16,2008-06-09
File,PeriodAxisLabelInfoTests.java,,,6,2008-06-09
File,PeriodAxisTests.java,,,8,2008-06-09
File,PieChart3DTests.java,,,7,2008-06-09
