Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Abstract Generic Class,io.realm.RealmBaseAdapter,1,1,1,1,7,0,6,1,1,4,0,,0,0,,,5,3,5,17,0,0,0,5,,52,7,40,12,18,6,,,15,25,10,15,,,,,4,4,4,1,2,0,60,0.15,8,8,8,5
Public Abstract Method,io.realm.RealmChangeListener.onChange,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,1,1,0,3,0,1,1,1,1,0,1,1,1,1,,,,,,0,,3,,,,
Public Abstract Method,io.realm.RealmMigration.execute,,,,,,,,,,,,,,,,,,,,,,,,,1,7,0,1,1,0,6,1,1,1,1,1,0,1,1,1,1,,,,,,0,,6,,,,
Public Abstract Method,io.realm.internal.TableOrView.pivot,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,1,1,0,0,1,1,1,1,1,0,1,1,1,1,,,,,,0,,0,,,,
Public Abstract Method,io.realm.internal.TableOrView.sync,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,1,1,0,6,1,1,1,1,1,0,1,1,1,1,,,,,,0,,6,,,,
Public Annotation,io.realm.internal.DefineTable,1,1,1,1,1,0,1,0,0,1,0,,0,0,,,4,0,4,4,4,0,0,0,,11,5,6,5,0,0,,,4,5,5,0,,,,,1,1,1,1,0,0,0,0,4,4,4,4
Public Class,io.realm.Realm,2,2,2,1,18,0,10,7,2,47,0,,18,13,,,28,13,46,58,7,2,2,35,,1018,85,557,159,354,384,,,262,381,139,242,,,,,25,25,25,4,1,5,93,0.69,115,115,124,49
Public Class,io.realm.exceptions.RealmException,1,1,1,1,3,0,3,0,1,1,0,,0,0,,,1,0,1,49,0,0,0,1,,5,0,5,2,1,0,,,1,3,2,1,,,,,1,1,1,1,4,0,0,0,1,1,1,1
Public Class,io.realm.exceptions.RealmIOException,1,1,1,1,2,0,2,0,1,1,0,,0,0,,,4,0,4,52,0,0,0,4,,18,5,13,5,3,0,,,3,8,5,3,,,,,1,1,1,1,4,0,0,0,4,4,4,4
Public Class,io.realm.exceptions.RealmMigrationNeededException,1,1,1,1,3,0,3,0,1,1,0,,0,0,,,2,0,2,50,0,0,0,2,,9,1,8,3,2,0,,,2,5,3,2,,,,,1,1,1,1,4,0,0,0,2,2,2,2
