Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,Date
File,Empty.java,0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,0,0,,0,0,0,0,,22,3,4,3,0,15,,,2,3,3,0,,,,,0,0,0,0,,0,,3.75,0,0,0,0,2015-03-17
File,EncryptionExampleActivity.java,1,1,1,1,16,3,9,4,,,,1,0,1,,2,2,1,2,,0,0,2,0,,68,15,30,15,15,24,,,22,25,13,12,,,,,1,1,1,1,,0,,0.8,2,2,2,2,2015-03-17
File,ExtraTests.java,2,2,2,1,7,0,7,0,,,,4,3,1,,12,9,3,12,,0,2,2,8,,127,21,106,35,54,0,,,50,78,37,41,,,,,7,7,8,1,,3,,0,24,24,26,12,2015-03-17
File,FieldNames.java,1,1,1,1,3,0,3,0,,,,1,0,0,,4,4,2,4,,0,0,0,4,,48,8,18,10,4,22,,,9,14,10,4,,,,,1,1,1,1,,0,,1.22,4,4,4,4,2015-03-17
File,GridViewExampleActivity.java,1,1,1,1,13,2,8,2,,,,3,0,1,,8,8,3,8,,0,1,2,5,,165,31,101,53,50,34,,,69,80,50,30,,,,,2,2,2,1,,1,,0.34,10,10,10,8,2015-03-17
File,Group.java,1,1,2,1,4,0,3,0,,,,2,2,0,,41,41,7,43,,2,4,17,20,,323,56,194,61,94,74,,,94,139,55,84,,,,,5,5,6,4,,2,,0.38,46,46,50,30,2015-03-17
File,IOException.java,1,1,1,1,2,0,2,0,,,,1,0,0,,4,4,0,4,,0,0,0,4,,37,7,15,7,3,15,,,4,9,6,3,,,,,1,1,1,1,,0,,1,4,4,4,4,2015-03-17
File,IOSAllTypes.java,1,1,1,1,3,0,3,0,,,,1,0,0,,22,22,11,22,,0,0,0,22,,109,26,83,38,22,0,,,37,60,38,22,,,,,1,1,1,1,,0,,0,22,22,22,22,2015-03-17
File,IOSChild.java,1,1,1,1,3,0,3,0,,,,1,0,0,,2,2,1,2,,0,0,0,2,,15,4,11,6,2,0,,,5,8,6,2,,,,,1,1,1,1,,0,,0,2,2,2,2,2015-03-17
File,IOSRealmTests.java,1,1,1,1,11,0,11,0,,,,1,0,1,,8,8,1,8,,0,0,2,6,,125,19,102,27,72,4,,,80,91,26,65,,,,,2,2,2,1,,1,,0.04,10,10,10,8,2015-03-17
File,Ignore.java,0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,0,0,,0,0,0,0,,21,3,3,2,0,15,,,1,2,2,0,,,,,0,0,0,0,,0,,5,0,0,0,0,2015-03-17
File,IllegalMixedTypeException.java,1,1,1,1,2,0,2,0,,,,1,0,0,,4,4,0,4,,0,0,0,4,,37,7,15,7,3,15,,,4,9,6,3,,,,,1,1,1,1,,0,,1,4,4,4,4,2015-03-17
File,ImplicitTransaction.java,1,1,2,1,5,0,5,0,,,,1,0,0,,8,8,1,8,,0,1,1,6,,71,11,45,11,23,16,,,20,32,11,21,,,,,2,2,3,1,,1,,0.36,11,11,12,8,2015-03-17
File,Index.java,0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,0,0,,0,0,0,0,,27,3,3,2,0,21,,,1,2,2,0,,,,,0,0,0,0,,0,,7,0,0,0,0,2015-03-17
File,IntroExampleActivity.java,1,1,1,1,17,2,12,2,,,,2,0,1,,10,10,2,10,,0,6,4,0,,213,42,132,42,92,41,,,98,114,44,70,,,,,5,5,5,1,,2,,0.31,14,14,14,10,2015-03-17
File,JNIBinaryTypeTest.java,1,1,1,1,5,0,4,1,,,,1,0,0,,2,2,2,2,,0,0,0,2,,26,8,16,9,5,2,,,8,11,7,4,,,,,1,1,1,1,,0,,0.13,2,2,2,2,2015-03-17
File,JNICloseTest.java,3,3,3,1,20,3,16,1,,,,1,0,0,,5,5,0,5,,0,0,0,5,,170,32,89,30,65,49,,,69,88,32,56,,,,,6,6,6,1,,2,,0.55,17,17,17,5,2015-03-17
File,JNIColumnInfoTest.java,1,1,1,1,9,3,6,0,,,,1,0,0,,3,3,1,3,,0,0,0,3,,42,18,24,9,12,0,,,15,19,8,11,,,,,1,1,1,1,,0,,0,3,3,3,3,2015-03-17
File,JNIDistinctTest.java,2,2,2,1,11,0,10,0,,,,1,0,0,,5,5,1,5,,1,0,0,4,,73,12,59,15,40,2,,,37,46,14,32,,,,,2,2,2,1,,1,,0.03,8,8,8,5,2015-03-17
File,JNIGarbageCollectorQueryTest.java,2,2,2,1,10,1,9,0,,,,1,0,0,,4,4,1,4,,0,0,0,4,,59,14,44,18,25,1,,,34,43,22,21,,,,,2,2,2,1,,1,,0.02,8,8,8,4,2015-03-17
File,JNIGarbageCollectorSubtableSchemaTest.java,2,2,2,1,14,3,10,0,,,,1,0,0,,4,4,1,4,,0,0,0,4,,76,25,49,15,30,4,,,39,48,19,29,,,,,2,2,2,1,,1,,0.08,8,8,8,4,2015-03-17
File,JNIGarbageCollectorTableTest.java,2,2,2,1,14,3,10,0,,,,1,0,0,,4,4,1,4,,0,0,0,4,,76,25,50,15,31,2,,,40,49,19,30,,,,,2,2,2,1,,1,,0.04,8,8,8,4,2015-03-17
File,JNIGarbageCollectorTableViewTest.java,2,2,2,1,10,1,9,0,,,,1,0,0,,4,4,1,4,,0,0,0,4,,59,14,44,18,25,2,,,34,43,22,21,,,,,2,2,2,1,,1,,0.05,8,8,8,4,2015-03-17
File,JNIImplicitTransactionsTest.java,3,3,3,1,15,1,13,1,,,,1,0,0,,4,4,1,4,,0,1,1,2,,79,13,63,22,40,4,,,36,49,22,27,,,,,4,4,4,1,,3,,0.06,11,11,11,4,2015-03-17
File,JNILinkTest.java,1,1,1,1,40,18,22,0,,,,1,0,0,,2,2,0,2,,0,0,0,2,,89,41,48,14,40,0,,,42,45,14,31,,,,,1,1,1,1,,0,,0,2,2,2,2,2015-03-17
File,JNIMixedSubtableTest.java,6,6,6,1,51,9,18,24,,,,1,0,0,,2,2,0,2,,0,0,0,2,,129,27,41,20,30,61,,,43,56,20,36,,,,,10,10,10,1,,1,,1.49,12,12,12,2,2015-03-17
File,JNIMixedTypeTest.java,5,4,5,1,20,2,18,0,,,,1,2,1,,7,5,0,7,,0,1,0,6,,187,27,141,27,98,19,,,79,105,33,72,,,,,17,11,17,1,,3,,0.13,32,26,32,7,2015-03-17
File,JNIParameterizedTestExample.java,1,1,1,1,5,0,5,0,,,,1,2,0,,4,2,3,4,,0,0,0,4,,60,11,30,14,12,19,,,16,21,14,7,,,,,1,1,1,1,,0,,0.63,4,4,4,4,2015-03-17
File,JNIQueryTest.java,13,13,13,1,29,5,21,3,,,,1,0,0,,23,23,1,23,,1,0,0,22,,744,169,496,76,433,90,,,708,1016,81,935,,,,,100,100,100,1,,3,,0.18,307,307,307,23,2015-03-17
File,JNIRowTest.java,1,1,1,1,33,10,23,0,,,,1,0,0,,2,2,0,2,,0,0,0,2,,79,27,52,14,42,0,,,46,49,14,35,,,,,1,1,1,1,,0,,0,2,2,2,2,2015-03-17
File,JNISortedLongTest.java,1,1,1,1,22,5,14,2,,,,1,0,0,,2,2,2,2,,1,0,0,1,,56,16,35,7,25,5,,,29,32,7,25,,,,,1,1,1,1,,0,,0.14,2,2,2,2,2015-03-17
File,JNISubtableTest.java,2,2,2,1,24,5,17,1,,,,1,0,0,,10,10,0,10,,0,0,0,10,,260,64,176,49,146,20,,,136,153,49,104,,,,,4,4,4,1,,1,,0.11,16,16,16,10,2015-03-17
File,JNITableInsertTest.java,3,3,3,1,23,3,18,2,,,,1,2,1,,12,10,2,12,,0,0,0,12,,335,61,238,57,182,40,,,155,189,59,130,,,,,12,12,12,1,,4,,0.17,33,33,33,12,2015-03-17
File,JNITableSpecTest.java,2,2,2,1,14,1,12,0,,,,1,2,0,,11,9,4,11,,0,0,0,11,,201,31,148,35,114,22,,,117,137,41,96,,,,,5,5,5,1,,1,,0.15,19,19,19,11,2015-03-17
File,JNITableTest.java,3,3,3,1,16,3,12,1,,,,1,0,0,,26,26,1,26,,1,1,0,24,,473,116,332,80,265,39,,,314,400,79,321,,,,,28,28,28,1,,3,,0.12,84,84,84,26,2015-03-17
File,JNITestSuite.java,3,3,4,2,13,1,12,0,,,,1,0,0,,6,6,0,6,,0,5,0,1,,125,18,92,37,52,15,,,50,70,35,35,,,,,9,9,9,6,,3,,0.16,19,19,22,13,2015-03-17
File,JNITransactions.java,4,4,4,1,16,1,14,0,,,,1,0,0,,17,17,1,17,,0,1,4,12,,342,61,251,69,183,37,,,223,290,69,221,,,,,32,32,32,3,,3,,0.15,62,62,62,21,2015-03-17
File,JNIViewTest.java,4,4,4,1,17,2,13,1,,,,1,0,0,,24,24,5,24,,2,0,0,22,,465,107,333,86,269,26,,,328,413,83,330,,,,,28,28,28,1,,2,,0.08,84,84,84,24,2015-03-17
File,JNI_nativeTests.java,4,4,4,1,14,1,13,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,21,4,17,5,9,0,,,7,12,6,6,,,,,4,4,4,1,,2,,0,4,4,4,1,2015-03-17
File,JsonExampleActivity.java,2,2,2,1,11,1,9,1,,,,1,0,1,,7,7,3,7,,0,3,2,2,,133,24,83,31,46,26,,,53,65,28,37,,,,,3,3,3,1,,2,,0.31,11,11,11,7,2015-03-17
File,JsonUtils.java,3,3,4,2,14,0,6,8,,,,1,2,1,,2,0,0,2,,0,0,0,2,,58,6,21,10,9,31,,,12,18,10,8,,,,,3,3,4,3,,1,,1.48,5,5,7,4,2015-03-17
File,KillableThread.java,1,1,1,1,1,0,1,0,,,,1,0,0,,1,1,0,1,,0,0,0,1,,23,4,4,3,0,15,,,2,3,3,0,,,,,1,1,1,1,,0,,3.75,1,1,1,1,2015-03-17
File,LinkView.java,1,1,1,1,2,0,1,0,,,,1,1,0,,24,23,4,24,,0,10,2,12,,99,17,66,32,22,16,,,37,51,32,19,,,,,2,2,2,1,,1,,0.24,13,13,13,12,2015-03-17
File,Logger.java,1,1,1,1,1,0,1,0,,,,1,0,0,,10,10,0,10,,0,0,0,10,,17,1,13,12,0,3,,,11,12,12,0,,,,,1,1,1,1,,0,,0.23,10,10,10,10,2015-03-17
File,MainActivity.java,1,1,1,1,7,0,7,0,,,,2,0,0,,4,4,3,4,,0,0,1,3,,68,11,41,22,16,16,,,27,32,21,11,,,,,1,1,1,1,,0,,0.39,4,4,4,4,2015-03-17
File,Migration.java,7,7,7,2,50,5,28,17,,,,1,0,0,,2,2,0,2,,0,1,0,1,,136,16,65,21,41,55,,,41,56,24,32,,,,,11,11,11,3,,3,,0.85,14,14,14,4,2015-03-17
File,MigrationExampleActivity.java,2,2,2,1,17,1,14,1,,,,1,0,1,,4,4,1,4,,0,3,1,0,,119,18,76,33,45,25,,,55,65,33,32,,,,,3,3,3,1,,2,,0.33,8,8,8,4,2015-03-17
File,Mixed.java,3,3,3,3,8,0,8,0,,,,1,1,2,,24,23,1,24,,0,0,1,23,,267,30,220,37,143,18,,,94,164,39,125,,,,,15,15,15,15,,3,,0.08,78,70,80,68,2015-03-17
File,MixedData.java,1,1,1,1,3,0,3,0,,,,1,0,0,,2,2,2,2,,0,0,0,2,,21,7,14,8,3,0,,,7,10,7,3,,,,,1,1,1,1,,0,,0,2,2,2,2,2015-03-17
File,MyAdapter.java,1,1,1,1,7,0,6,0,,,,2,0,0,,3,3,1,3,,0,0,0,3,,59,9,35,18,12,15,,,21,27,17,10,,,,,2,2,2,1,,1,,0.43,4,4,4,3,2015-03-17
File,NoAccessors.java,0,0,0,0,0,0,0,0,,,,1,0,0,,0,0,9,0,,0,0,0,0,,19,3,16,15,0,0,,,14,15,15,0,,,,,0,0,0,0,,0,,0,0,0,0,0,2015-03-17
File,NonLatinFieldNames.java,1,1,1,1,1,0,1,0,,,,1,0,0,,8,8,4,8,,0,0,0,8,,43,12,16,15,8,15,,,14,23,15,8,,,,,1,1,1,1,,0,,0.94,8,8,8,8,2015-03-17
File,NotificationsTest.java,2,2,2,1,25,1,21,2,,,,9,0,0,,15,15,0,15,,0,0,1,14,,307,35,237,73,180,38,,,153,184,77,107,,,,,5,5,5,3,,1,,0.16,28,28,28,17,2015-03-17
File,OutOfMemoryError.java,1,1,1,1,3,0,3,0,,,,1,0,0,,4,4,0,4,,0,0,0,4,,44,7,16,7,4,21,,,5,10,6,4,,,,,1,1,1,1,,0,,1.31,4,4,4,4,2015-03-17
File,Owner.java,1,1,1,1,3,0,3,0,,,,1,0,0,,6,6,3,6,,0,0,0,6,,50,9,26,13,6,15,,,12,19,13,6,,,,,1,1,1,1,,0,,0.58,6,6,6,6,2015-03-17
File,OwnerPrimaryKey.java,1,1,1,1,3,0,3,0,,,,1,0,0,,10,10,4,10,,0,0,0,10,,71,15,41,20,10,15,,,18,29,19,10,,,,,1,1,1,1,,0,,0.37,10,10,10,10,2015-03-17
File,Person.java,1,1,1,1,3,0,3,0,,,,1,0,0,,12,12,6,12,,0,0,0,12,,94,21,49,24,12,24,,,22,35,23,12,,,,,1,1,1,1,,0,,0.49,12,12,12,12,2015-03-17
File,Person.java,1,1,1,1,3,0,3,0,,,,1,0,0,,6,6,3,6,,0,0,0,6,,53,11,27,14,6,15,,,13,20,14,6,,,,,1,1,1,1,,0,,0.56,6,6,6,6,2015-03-17
File,Person.java,1,1,1,1,3,0,3,0,,,,1,0,0,,4,4,2,4,,0,0,0,4,,41,8,18,9,4,15,,,8,13,9,4,,,,,1,1,1,1,,0,,0.83,4,4,4,4,2015-03-17
File,Person.java,1,1,1,1,3,0,3,0,,,,1,0,0,,4,4,2,4,,0,0,0,4,,69,10,18,10,4,41,,,9,14,10,4,,,,,1,1,1,1,,0,,2.28,4,4,4,4,2015-03-17
File,Person.java,1,1,1,1,3,0,3,0,,,,1,0,0,,4,4,2,4,,0,0,0,4,,39,7,17,9,4,15,,,8,13,9,4,,,,,1,1,1,1,,0,,0.88,4,4,4,4,2015-03-17
